national_olympic_team,national_iso3,national_noc,participated_olympic_game,year,season,host_country,host_iso3,is_host_country_team,total_number_of_athletes,number_of_male_athletes,number_of_female_athletes,proportion_male_athletes,proportion_female_athletes,score_total,score_female,score_male,score_total_raw,score_female_raw,score_male_raw,game_total_score_raw
Greece,GRC,GRE,2000 Summer Olympics,2000,Summer,Australia,AUS,False,141,83,58,0.5886524822695035,0.41134751773049644,0.014471708644268408,0.00566626549147363,0.008805443152794776,23.63373015873016,9.253571428571428,14.38015873015873,1633.0988095238095
Grenada,GRD,GRN,2000 Summer Olympics,2000,Summer,Australia,AUS,False,3,2,1,0.6666666666666666,0.3333333333333333,0.00020411094012770054,6.803698004256685e-05,0.0001360739600851337,0.3333333333333333,0.1111111111111111,0.2222222222222222,1633.0988095238095
Guatemala,GTM,GUA,2000 Summer Olympics,2000,Summer,Australia,AUS,False,15,14,1,0.9333333333333333,0.06666666666666667,0.0010205547006385026,6.803698004256685e-05,0.0009525177205959358,1.6666666666666665,0.1111111111111111,1.5555555555555554,1633.0988095238095
Guam,GUM,GUM,2000 Summer Olympics,2000,Summer,Australia,AUS,False,7,5,2,0.7142857142857143,0.2857142857142857,0.0004762588602979679,0.0001360739600851337,0.0003401849002128343,0.7777777777777777,0.2222222222222222,0.5555555555555556,1633.0988095238095
Guyana,GUY,GUY,2000 Summer Olympics,2000,Summer,Australia,AUS,False,4,3,1,0.75,0.25,0.0002721479201702674,6.803698004256685e-05,0.00020411094012770054,0.4444444444444444,0.1111111111111111,0.3333333333333333,1633.0988095238095
"Hong Kong, China",HKG,HKG,2000 Summer Olympics,2000,Summer,Australia,AUS,False,31,19,12,0.6129032258064516,0.3870967741935484,0.002619423731638824,0.0011566286607236364,0.0014627950709151874,4.277777777777778,1.8888888888888888,2.388888888888889,1633.0988095238095
Honduras,HND,HON,2000 Summer Olympics,2000,Summer,Australia,AUS,False,24,22,2,0.9166666666666666,0.08333333333333333,0.0002721479201702674,0.0001360739600851337,0.0001360739600851337,0.4444444444444444,0.2222222222222222,0.2222222222222222,1633.0988095238095
Croatia,HRV,CRO,2000 Summer Olympics,2000,Summer,Australia,AUS,False,89,63,26,0.7078651685393258,0.29213483146067415,0.004889914951345055,0.0015196545470936183,0.0033702604042514365,7.985714285714286,2.481746031746032,5.503968253968254,1633.0988095238095
Haiti,HTI,HAI,2000 Summer Olympics,2000,Summer,Australia,AUS,False,5,3,2,0.6,0.4,0.0003596240373678533,0.0001360739600851337,0.00022355007728271965,0.5873015873015872,0.2222222222222222,0.36507936507936506,1633.0988095238095
Hungary,HUN,HUN,2000 Summer Olympics,2000,Summer,Australia,AUS,False,179,110,69,0.6145251396648045,0.3854748603351955,0.018985962270092718,0.007094313104724221,0.011891649165368497,31.00595238095238,11.585714285714285,19.420238095238094,1633.0988095238095
Indonesia,IDN,INA,2000 Summer Olympics,2000,Summer,Australia,AUS,False,47,27,20,0.574468085106383,0.425531914893617,0.00594132928221715,0.0020223992317652995,0.003918930050451851,9.702777777777778,3.3027777777777776,6.4,1633.0988095238095
India,IND,IND,2000 Summer Olympics,2000,Summer,Australia,AUS,False,66,45,21,0.6818181818181818,0.3181818181818182,0.002928020033974752,0.0012671887532928075,0.0016608312806819442,4.781746031746032,2.069444444444444,2.712301587301587,1633.0988095238095
Independent Olympic Athletes,IOA,IOA,2000 Summer Olympics,2000,Summer,Australia,AUS,False,4,3,1,0.75,0.25,0.0002721479201702674,6.803698004256685e-05,0.00020411094012770054,0.4444444444444444,0.1111111111111111,0.3333333333333333,1633.0988095238095
Ireland,IRL,IRL,2000 Summer Olympics,2000,Summer,Australia,AUS,False,64,40,24,0.625,0.375,0.004408796306758332,0.0020275020052684923,0.00238129430148984,7.2,3.311111111111111,3.888888888888889,1633.0988095238095
Islamic Republic of Iran,IRN,IRI,2000 Summer Olympics,2000,Summer,Australia,AUS,False,35,34,1,0.9714285714285714,0.02857142857142857,0.004775224042130442,6.803698004256685e-05,0.0047071870620878755,7.798412698412698,0.1111111111111111,7.6873015873015875,1633.0988095238095
Iraq,IRQ,IRQ,2000 Summer Olympics,2000,Summer,Australia,AUS,False,4,2,2,0.5,0.5,0.0002721479201702674,0.0001360739600851337,0.0001360739600851337,0.4444444444444444,0.2222222222222222,0.2222222222222222,1633.0988095238095
Iceland,ISL,ISL,2000 Summer Olympics,2000,Summer,Australia,AUS,False,18,9,9,0.5,0.5,0.0022136317435278,0.000971956857750955,0.001241674885776845,3.6150793650793647,1.5873015873015872,2.0277777777777777,1633.0988095238095
Israel,ISR,ISR,2000 Summer Olympics,2000,Summer,Australia,AUS,False,39,29,10,0.7435897435897436,0.2564102564102564,0.003623698154909998,0.000833453005521444,0.0027902451493885543,5.917857142857143,1.3611111111111112,4.556746031746032,1633.0988095238095
Italy,ITA,ITA,2000 Summer Olympics,2000,Summer,Australia,AUS,False,367,251,116,0.6839237057220708,0.31607629427792916,0.030890489863826417,0.011638697393138811,0.019251792470687604,50.44722222222222,19.007142857142856,31.440079365079363,1633.0988095238095
Jamaica,JAM,JAM,2000 Summer Olympics,2000,Summer,Australia,AUS,False,48,22,26,0.4583333333333333,0.5416666666666666,0.005249781977927345,0.00347839060467623,0.0017713913732511153,8.573412698412698,5.680555555555555,2.8928571428571423,1633.0988095238095
Jordan,JOR,JOR,2000 Summer Olympics,2000,Summer,Australia,AUS,False,8,4,4,0.5,0.5,0.0005637349774955539,0.0002721479201702674,0.0002915870573252865,0.9206349206349206,0.4444444444444444,0.47619047619047616,1633.0988095238095
Japan,JPN,JPN,2000 Summer Olympics,2000,Summer,Australia,AUS,False,273,162,111,0.5934065934065934,0.4065934065934066,0.024549200334644746,0.011111410797808918,0.01343778953683583,40.09126984126984,18.146031746031746,21.945238095238096,1633.0988095238095
Kazakhstan,KAZ,KAZ,2000 Summer Olympics,2000,Summer,Australia,AUS,False,130,86,44,0.6615384615384615,0.3384615384615385,0.011919349935814397,0.003387269649262078,0.008532080286552321,19.46547619047619,5.531746031746032,13.933730158730159,1633.0988095238095
Kenya,KEN,KEN,2000 Summer Olympics,2000,Summer,Australia,AUS,False,56,34,22,0.6071428571428571,0.39285714285714285,0.005623256400518151,0.0011260120197044813,0.004497244380813669,9.183333333333334,1.8388888888888888,7.344444444444444,1633.0988095238095
Kyrgyzstan,KGZ,KGZ,2000 Summer Olympics,2000,Summer,Australia,AUS,False,48,35,13,0.7291666666666666,0.2708333333333333,0.004184274272617861,0.0011566286607236364,0.003027645611894225,6.833333333333333,1.8888888888888888,4.944444444444445,1633.0988095238095
Cambodia,KHM,CAM,2000 Summer Olympics,2000,Summer,Australia,AUS,False,4,2,2,0.5,0.5,0.0002721479201702674,0.0001360739600851337,0.0001360739600851337,0.4444444444444444,0.2222222222222222,0.2222222222222222,1633.0988095238095
Saint Kitts and Nevis,KNA,SKN,2000 Summer Olympics,2000,Summer,Australia,AUS,False,2,1,1,0.5,0.5,0.0002915870573252865,0.0001360739600851337,0.0001555130972401528,0.47619047619047616,0.2222222222222222,0.25396825396825395,1633.0988095238095
Republic of Korea,KOR,KOR,2000 Summer Olympics,2000,Summer,Australia,AUS,False,288,182,106,0.6319444444444444,0.3680555555555556,0.023726438854558562,0.008404753938186946,0.015321684916371616,38.74761904761905,13.725793650793651,25.021825396825395,1633.0988095238095
Kuwait,KWT,KUW,2000 Summer Olympics,2000,Summer,Australia,AUS,False,35,35,0,1.0,0.0,0.0010460685681544654,0.0,0.0010460685681544654,1.7083333333333333,0.0,1.7083333333333333,1633.0988095238095
Lao People's Democratic Republic,LAO,LAO,2000 Summer Olympics,2000,Summer,Australia,AUS,False,3,2,1,0.6666666666666666,0.3333333333333333,0.00020411094012770054,6.803698004256685e-05,0.0001360739600851337,0.3333333333333333,0.1111111111111111,0.2222222222222222,1633.0988095238095
Lebanon,LBN,LBN,2000 Summer Olympics,2000,Summer,Australia,AUS,False,6,4,2,0.6666666666666666,0.3333333333333333,0.0004082218802554011,0.0001360739600851337,0.0002721479201702674,0.6666666666666666,0.2222222222222222,0.4444444444444444,1633.0988095238095
Liberia,LBR,LBR,2000 Summer Olympics,2000,Summer,Australia,AUS,False,8,6,2,0.75,0.25,0.0004762588602979679,0.0001360739600851337,0.0003401849002128343,0.7777777777777777,0.2222222222222222,0.5555555555555556,1633.0988095238095
Libya,LBY,LBA,2000 Summer Olympics,2000,Summer,Australia,AUS,False,3,3,0,1.0,0.0,0.00020411094012770054,0.0,0.00020411094012770054,0.3333333333333333,0.0,0.3333333333333333,1633.0988095238095
